ItemNum,ItemStem_Text,Answer__A,Answer__B,Answer__C,Answer__D,Answer__E,Answer__F,Answer__G,Answer__H,Answer__I,Answer__J,Answer_Key,Answer_Text,ItemType,EXAM,Difficulty,Response_Time
463,"A 2-year-old boy is brought to the physician because of failure to thrive. He also has had loose, fatty, foul-smelling stools and a cough during the past 2 weeks. He is at the 30th percentile for height and 10th percentile for weight. Physical examination shows no other abnormalities. Laboratory studies show steatorrhea and a sweat chloride concentration of 80 mmol/L. A chest x-ray shows hyperinflation. Sputum culture grows Haemophilus influenzae and Staphylococcus aureus. Secretion of which of the following substances is most likely to be decreased in this patient?",Bicarbonate,Gastric acid,Glucagon,Insulin,Intrinsic factor,,,,,,A,Bicarbonate,Text,STEP 1,0.4,99.13
23,"For 8 weeks, a 52-year-old man with a 5-year history of type 2 diabetes mellitus has had deep burning pain in the ball of his right foot and big toe when the foot is raised above chest concentration. He also has cramping in his right calf when he walks more than 50 feet. He has smoked two packs of cigarettes daily for 30 years. Femoral pulses are palpable; pedal pulses are absent. Which of the following is the most likely diagnosis?",Aortoiliac stenosis,Femoral popliteal stenosis,Mononeuropathy,Vasculitis,Venous stasis,,,,,,B,Femoral popliteal stenosis,Text,STEP 2,0.2,59.33
617,"A 6-year-old girl is admitted to the hospital because of a 1-week history of constant increasingly severe neck pain and a 2-month history of severe headaches that occur three to four times weekly and last for 1 hour. She also has had four episodes of otitis media and three urinary tract infections during the past 4 years. Today, her temperature is 37.6Ã‚Â°C (99.6Ã‚Â°F), pulse is 78/min, respirations are 20/min, and blood pressure is 95/63 mm Hg. Examination of the neck shows no palpable masses, but there is generalized hyperreflexia and Babinski sign is present. CT scan of the mastoid area shows bone destruction in the right mastoid and right internal ear. Examination of a biopsy specimen of the retropharyngeal area shows aggregates of segmented neutrophils as well as evidence of Candida albicans. Immunologic studies show a neutrophil count of 9800/Ã‚ÂµL, but these cells show a delay in bactericidal activity against Staphylococcus aureus. The most likely cause of this patientÃ¢â‚¬â„¢s condition is a homozygous mutation in which of the following genes?",Catalase,Lactate dehydrogenase,Myeloperoxidase,Nitric oxide synthase,Superoxide dismutase,,,,,,C,Myeloperoxidase,Text,STEP 1,0.82,140.38
649,"A 34-year-old woman who is on active duty in the USÃ‚Â Army comes to the military urgent care clinic because of a 4-day history of headache, purulent nasal discharge, and left facial pain. She has not had fever or chills. She has chronic bilateral knee pain, which she attributes to multiple parachute jumps while she was assigned to an airborne unit 7Ã‚Â years ago. The knee pain is exacerbated by long-distance running on pavement. Her only medication is occasional ibuprofen for the knee pain. The patient has no known medication allergies. Temperature is 37.1Ã‚Â°C (98.8Ã‚Â°F), pulse is 60/min, respirations are 14/min, and blood pressure is 122/80Ã‚Â mmÃ‚Â Hg. Cervical lymph nodes are not palpable. There is tenderness to palpation over the left maxillary sinus. Nasal examination shows inflamed turbinates and purulent discharge. The patient needs to blow her nose twice during the examination. Bilateral otoscopic examination discloses no abnormalities. Examination of the oropharynx shows scant purulent discharge posteriorly. The remainder of the examination discloses no abnormalities. Which of the following is the most appropriate next step in management?",CT scan of the sinuses,Gram stain and culture of nasal discharge,Ibuprofen and decongestant therapy,Trimethoprim-sulfamethoxazole therapy,X-ray of the sinuses,,,,,,C,Ibuprofen and decongestant therapy,Text,STEP 2,1.1,109.06
20,"A sexually active 20-year-old woman has had fever, chills, malaise, and pain of the vulva for 2 days. Examination shows a vulvar pustule that has ulcerated and formed multiple satellite lesions. Nodes are palpated in the inguinal and femoral areas. A smear of fluid from the lesions establishes the diagnosis. Which of the following is the most likely causal organism?",Chlamydia trachomatis,Haemophilus ducreyi,Neisseria gonorrhoeae,Streptococcus pyogenes (group A),Treponema pallidum,,,,,,B,Haemophilus ducreyi,Text,STEP 2,0.44,66.84
437,"A previously healthy 64-year-old man is brought to the emergency department 3 hours after the sudden onset of severe flank pain. He has no history of similar pain or serious illness. He takes no medications. He appears to be in distress. His pulse is 100/min, and blood pressure is 168/92 mm Hg. Physical examination shows a soft abdomen with left-sided tenderness. Urinalysis shows microscopic hematuria. A CT scan of the abdomen shows a small ureteric calculus. Analgesic therapy is initiated and the pain resolves 1 hour later. The urine is then strained and a uric acid calculus is found. Which of the following processes is most likely impaired in this patient?",Bile salt metabolism,Cholesterol metabolism,Cytochrome P450 activity,Purine metabolism,Urea cycle,,,,,,D,Purine metabolism,Text,STEP 1,0.3,99.63
178,"A 22-year-old woman comes to the physician in October for a follow-up examination. She feels well. She has a 2-year history of type 1 diabetes mellitus controlled with insulin. She had a normal Pap smear 3 months ago and saw her ophthalmologist 6 months ago. Her 67-year-old grandmother has breast cancer. She is 168 cm (5 ft 6 in) tall and weighs 57 kg (125 lb); BMI is 20 kg/m2. Her hemoglobin A1c is 6.2%, and fingerstick blood glucose concentration is 118 mg/dL. Which of the following health maintenance recommendations is most appropriate at this time?",Begin running for exercise,Dietary modification for weight loss,Human papillomavirus testing,Mammography,Influenza virus vaccine,Supplementation with vitamins C and D,,,,,E,Influenza virus vaccine,Text,STEP 2,0.46,79.2
202,"A 42-year-old man comes to the office for preoperative evaluation prior to undergoing adrenalectomy scheduled in 2 weeks. One month ago, he received care in the emergency department for pain over his right flank following a motor vehicle collision. At that time, blood pressure was 160/100 mm Hg and CT scan of the abdomen showed an incidental 10-cm left adrenal mass. Results of laboratory studies, including complete blood count, serum electrolyte concentrations, and liver function tests, were within the reference ranges. The patient otherwise had been healthy and had never been told that he had elevated blood pressure. He takes no medications. A follow-up visit in the office 2 weeks ago disclosed elevated urinary normetanephrine and metanephrine and plasma aldosterone concentrations. The patient was referred to a surgeon, who recommended the adrenalectomy. Today, vital signs are temperature 36.6Ã‚Â°C (97.9Ã‚Â°F), pulse 100/min, respirations 14/min, and blood pressure 170/95 mm Hg. Physical examination discloses no significant findings. Initial preoperative preparation should include treatment with which of the following?",Labetalol,A loading dose of potassium chloride,Nifedipine,Phenoxybenzamine,Spironolactone,,,,,,D,Phenoxybenzamine,Text,STEP 3,0.72,75.37
514,"A 37-year-old woman comes to the office for a routine health maintenance examination. For the past 6 years, she has worked in a paper mill factory that uses liquid chlorine to bleach the paper. The patient is concerned about her exposure to toxic substances. Vital signs are within normal limits. Examination shows no abnormalities. Which of the following is the most appropriate recommendation to address this patient's concerns?",Corticosteroid therapy,Taking frequent breaks from the paper-bleaching area,Undergoing monthly pulmonary function testing,Using a respirator at work,Washing daily after work with a chlorhexidine-based solution,,,,,,D,Using a respirator at work,Text,STEP 2,0.5,54.87
546,A 14-year-old girl is brought to the office by her mother because of a 3-month history of red bumps on her skin. The patient says the bumps are not itchy or painful but that she finds them embarrassing. She has no history of major medical illness and takes no medications. Her vital signs are within normal limits. Physical examination shows the findings in the photograph. Which of the following is the most likely diagnosis?,Eczema,Folliculitis,Hidradenitis,Keratosis pilaris,Urticaria,,,,,,D,Keratosis pilaris,PIX,STEP 1,0.78,57.79
66,A 63-year-old woman with hypertension has her son call your office to make an appointment for evaluation of vaginal bleeding. Her general physician recently retired. The son tells you that his mother has been deaf since infancy and that he uses sign language to communicate with her. Which of the following is the most appropriate course of action to ensure good communication?,Have the patient bring her son to the appointment to interpret,Arrange for a certified interpreter,Provide the patient with writing materials during the appointment,"Talk with the patient face-to-face, enunciating carefully so that she may lip read",Obtain a history via a telecommunication device for the deaf before the appointment,,,,,,B,Arrange for a certified interpreter,Text,STEP 3,0.02,36.53
329,"A 70-year-old woman comes to the office for an annual health maintenance examination. She describes a 1-year history of slowly progressive fatigue, diffuse muscle aches, and generalized pain. Medical history is significant for osteoporosis diagnosed 5Ã‚Â years ago. Medications include alendronate and calcium supplementation. Vital signs are normal. Physical examination is unremarkable for her age, with no point tenderness on palpation. Results of complete blood count, serum electrolyte and thyroid-stimulating hormone concentrations, liver function tests, and erythrocyte sedimentation rate are all within the reference ranges. Screening mammography and colonoscopy done 1Ã‚Â year ago disclosed no abnormalities. Which of the following is the most appropriate next step in evaluation?",DEXA scan,Electromyography and nerve conduction studies,MRI of the cervical spine,Serum antinuclear antibody assay,Serum 25-hydroxyvitamin D assay,No additional evaluation is indicated,,,,,E,Serum 25-hydroxyvitamin D assay,Text,STEP 3,1.26,97.67
535,"A 67-year-old man is brought to the emergency department by his wife 1 hour after he fainted while getting the morning newspaper. His wife says that he was unconscious for approximately 1 minute; he did not have urinary incontinence or seizure activity during the episode. During the past 2 days, he also has had episodes of dizziness. He has not had chest pain or shortness of breath. He has hypertension treated with lisinopril and hyperlipidemia treated with atorvastatin. Pulse is 60/min, respirations are 18/min, and blood pressure is 100/62 mm Hg. Lungs are clear to auscultation. On cardiac examination, no murmurs or gallops are heard. ECG is shown. Which of the following is the most likely diagnosis?",Atrial flutter,First-degree atrioventricular block,Mobitz type I atrioventricular block,Mobitz type II (second-degree) atrioventricular block,Sick sinus syndrome,Third-degree atrioventricular block,,,,,D,Mobitz type II (second-degree) atrioventricular block,PIX,STEP 2,0.62,121.27
215,"A 52-year-old man is brought to the emergency department 30 minutes after he had an episode of chest pain radiating to his jaw while shoveling snow. His pulse is 80/min, and blood pressure is 130/70 mm Hg. The lungs are clear to auscultation. Cardiac examination shows an S4. While undergoing an ECG, the patient says that he feels the chest pain returning. The most appropriate immediate treatment is a drug with which of the following mechanisms of action?",Increases cAMP concentration,Increases nitric oxide concentration,Inhibits potassium flux,Inhibits sodium flux,,,,,,,B,Increases nitric oxide concentration,Text,STEP 1,0.16,61.86
149,"A 55-year-old man is brought to the emergency department by his wife because he told her he did not want to live anymore. During the past 6 weeks, he has experienced fatigue, loss of interest in usual activities, a 7-kg (15-lb) weight loss, and insomnia. He has no history of serious medical or psychiatric illness. Vital signs are temperature 37.0Ã‚Â°C (98.6Ã‚Â°F), pulse 80/min, respirations 16/min, and blood pressure 140/82 mm Hg. Physical examination discloses no abnormalities. Beck Depression Inventory score is 35 (severely depressed). He says he feels guilty that his investments have not done well and that he has ruined his family finances. He reports he hears voices at night telling him he has sinned. In addition to olanzapine, which of the following is the best treatment option for this patient?",Divalproex,Fluoxetine,Lamotrigine,Lithium carbonate,No other therapy is necessary,,,,,,B,Fluoxetine,Text,STEP 3,0.28,54.52
143,A new severe respiratory illness caused by a newly identified virus is discovered. Which of the following properties of a killed vaccine relative to a live vaccine is the most appropriate rationale for developing a killed vaccine for this illness?,Avoids the concern for reversion to virulence,Develops more rapid protective immunity,Is less likely to require subsequent boosters for lifelong immunity,Is most likely to generate mucosal immunity,Requires little safety monitoring to ensure inactivation,,,,,,A,Avoids the concern for reversion to virulence,Text,STEP 1,0.14,56.69
95,"A 27-year-old nurse comes to the emergency department because of nervousness, dizziness, palpitations, and excess perspiration for the past 3 hours. She has had similar episodes over the past 6 months. The symptoms improve following ingestion of orange juice or soft drinks. She says that she has had a great deal of stress. She has been drinking two alcoholic beverages daily for the past month; before this time, she seldom drank alcohol. Examination shows no abnormalities. Her serum glucose concentration is 30 mg/dL. Intravenous glucose is administered, and the patient's symptoms improve. Which of the following is the most appropriate next step in diagnosis?",Liver tests,Measurement of serum proinsulin and insulin antibodies,Measurement of serum cortisol and ACTH concentrations,Measurement of serum growth hormone and plasma somatomedin-C concentrations,Measurement of serum insulin and C-peptide concentrations,,,,,,E,Measurement of serum insulin and C-peptide concentrations,Text,STEP 2,0.08,57.35
137,"A previously healthy 47-year-old man comes to the physician because of a 6.8-kg (15-lb) weight loss over the past 6 months. He spent 2 weeks in Mexico 3 months ago. Since returning, he has noticed that his stools have changed in size and consistency. He has not had fever, night sweats, or change in appetite. He takes no medications. He has smoked one pack of cigarettes daily for 20 years. He appears healthy and well nourished. His temperature is 37Ã‚Â°C (98.6Ã‚Â°F), pulse is 105/min, respirations are 16/min, and blood pressure is 130/78 mm Hg. Examination shows pale conjunctivae. The abdomen is soft with no organomegaly. Rectal examination shows a normal prostate with no masses. Test of the stool for occult blood is positive. Laboratory studies show: Hemoglobin 11 g/dL Mean corpuscular volume 72 ÃŽÂ¼m3 Platelet count 300,000/mm3 Red cell distribution width 16% (N=13%Ã¢â‚¬â€œ15%)Which of the following is the most appropriate next step in diagnosis?",Second complete blood count in 3 months,CT scan of the abdomen,Colonoscopy,Esophagogastroduodenoscopy,Sigmoidoscopy,,,,,,C,Colonoscopy,Text,STEP 2,0.26,91.63
194,"An asymptomatic 44-year-old man is found to have HIV infection during routine screening prior to donating blood. A complete blood count done at the time of the screening shows: Hemoglobin 10 g/dL Hematocrit 30% Leukocyte count 4600/mm3 Platelet count 15,000/mm3 Prothrombin time 12 sec (INR=1.1) Partial thromboplastin time 23 secWhich of the following physical findings is most likely in this patient?",Deep venous thrombosis,Hemarthrosis,Petechiae,Subungual hemorrhage,Visceral hematoma,,,,,,C,Petechiae,Text,STEP 1,0.24,96.78
278,"A 47-year-old woman is brought to the emergency department by ambulance 30Ã‚Â minutes after a motor vehicle collision in which the car she was driving overturned. At the scene, the patient was immobilized and an intravenous line was started. On arrival, the patient indicates pain in the right lower extremity caused by an open wound in the right popliteal fossa. She appears distressed. Vital signs are temperature 36.5Ã‚Â°C (97.7Ã‚Â°F), pulse 120/min, respirations 18/min, and blood pressure 90/75Ã‚Â mmÃ‚Â Hg. Pulse oximetry on 50%Ã‚Â oxygen via nonrebreather mask shows an oxygen saturation of 95%. Lungs are clear to auscultation and cardiac examination discloses no abnormalities. The abdomen is soft without tenderness. The right lower extremity is bruised and ecchymotic above the knee. The femoral pulse is 2+ bilaterally and the popliteal and tibial pulses are absent on the right and 2+ on the left. Neurologic examination discloses decreased motor function below the right knee and decreased sensation over the distal right lower extremity. X-ray and intraoperative arteriogram of the right lower extremity are shown. Which of the following is the most likely cause of the findings on the arteriogram?",Anterior dislocation of the right knee,Arterial spasm,Fracture of the right femur,Fracture of the right tibia and fibula,Posterior dislocation of the right knee,,,,,,E,Posterior dislocation of the right knee,PIX,STEP 3,0.46,125.28
60,"A previously healthy 18-year-old man is brought to the emergency department because of abdominal pain and nausea for 6 hours. He has had decreased appetite for the past week. He takes no medications. He drinks one to two beers daily and occasionally more on weekends. He does not use illicit drugs. His temperature is 37.8Ã‚Â°C (100Ã‚Â°F), pulse is 120/min, respirations are 24/min, and blood pressure is 105/60 mm Hg. Abdominal examination shows diffuse tenderness with no guarding or rebound. Bowel sounds are normal. Laboratory studies show: Serum Ã‚Â Ã¢â‚¬Æ’Na+ 135 mEq/L Ã¢â‚¬Æ’ClÃ¢Ë†â€™ 98 mEq/L Ã¢â‚¬Æ’K+ 3.8 mEq/L Ã¢â‚¬Æ’HCO3Ã¢Ë†â€™ 16 mEq/L Ã¢â‚¬Æ’Glucose 360 mg/dL Ã¢â‚¬Æ’Ketones present Urine ketones presentArterial blood gas analysis on room air shows a pH of 7.30. Which of the following is the most likely diagnosis?",Acute appendicitis,Acute pancreatitis,Alcoholic ketoacidosis,Diabetic ketoacidosis,Lactic acidosis,,,,,,D,Diabetic ketoacidosis,Text,STEP 2,0.38,101.51
488,"A 78-year-old woman is admitted to the intensive care unit because of diverticulitis complicated by Escherichia coli sepsis. Treatment with ciprofloxacin is started. Three days later, her serum creatinine concentration has increased from 0.7 mg/dL on admission to 1.3 mg/dL. Urinalysis shows muddy brown casts. The most likely cause of the findings in this patient is ischemia of which of the following structures?",Bowman capsule,Glomerulus,Interstitium,Proximal tubule,Renal vein,,,,,,D,Proximal tubule,Text,STEP 1,0.12,42.69
654,"A 24-year-old man is brought to the emergency department by paramedics 30 minutes after he was involved in a motor vehicle collision in which his face struck the steering wheel. He was the unrestrained driver. On arrival, he has moderate facial pain and double vision on upward gaze. He has no history of serious illness and takes no medications. Vital signs are within normal limits. Examination of the left eye shows periorbital ecchymoses and infraorbital edema. Ocular movement is restricted vertically. Examination of the right eye shows no abnormalities. Visual acuity is 20/20 bilaterally. CT scan of the orbits is shown. The remainder of the examination is most likely to disclose impairment of which of the following on this patient's left side?",Hearing,Lacrimation,Pupillary reflex,Saliva production,Sensation over the upper lip,,,,,,E,Sensation over the upper lip,PIX,STEP 1,0.42,72.73
487,"A previously healthy 24-year-old woman who is a college student comes to the office because of a 6-month history of abdominal bloating, upper abdominal discomfort, and constipation. The symptoms are more severe when she is preparing for examinations but improve after bowel movements. She takes no medications. She does not smoke or use illicit drugs. She drinks alcoholic beverages occasionally. She is 160 cm (5 ft 3 in) tall and weighs 57 kg (125 lb); BMI is 22 kg/m2. Her pulse is 72/min, and blood pressure is 100/72 mm Hg. Physical examination, including digital rectal examination, shows no other abnormalities. A complete blood count and serum electrolyte concentrations are within the reference ranges. A urease breath test result is negative. Upper and lower endoscopies show no abnormalities. Which of the following is the most appropriate pharmacotherapy for this patient?",Azathioprine,Infliximab,Lubiprostone,Mesalamine,Sulfasalazine,,,,,,C,Lubiprostone,Text,STEP 1,1.16,98.17
348,"A 23-year-old woman comes to the physician for genetic counseling prior to conception. Her brother and maternal uncle had Duchenne muscular dystrophy (DMD) and died at the ages of 28 and 17 years, respectively. Genetic analysis was not performed on either relative prior to death. Serum studies show a muscle creatine kinase concentration of 120 U/L (N=22Ã¢â‚¬â€œ198). The patient's 50-year-old mother has a serum muscle creatine kinase concentration of 300 U/L. Which of the following is the most appropriate assessment of this patient's carrier status for this disease?",The patient has a 50% risk for developing DMD,The patient has a 50% risk of having a child with DMD,The patient is a carrier of the disease based on her family history of DMD,The patient is not a carrier of DMD based on her normal creatine kinase concentration,The patient's DMD carrier status is uncertain because of random X inactivation,,,,,,E,The patient's DMD carrier status is uncertain because of random X inactivation,Text,STEP 1,1.24,155.24
450,"A 32-year-old woman with hypothyroidism comes to the physician because of a 6-week history of cold intolerance, constipation, and severe fatigue. She also has had a 4.5-kg (10-lb) weight gain during this period. Her current medication is daily levothyroxine. She also started taking calcium carbonate supplements 2 months ago for osteopenia of the lumbar spine. At that time, serum concentrations of thyroid-stimulating hormone (TSH) and free thyroxine (FT4) were within the reference ranges. Today, physical examination shows coarse, dry skin. Serum studies show a TSH concentration of 16.6 ÃŽÂ¼U/mL and FT4 concentration of 0.3 ng/dL. Which of the following pharmacokinetic changes of levothyroxine is the most likely cause of this patientÃ¢â‚¬â„¢s current condition?",Decreased absorption,Decreased distribution,Decreased elimination,Increased distribution,Increased elimination,Increased metabolism,,,,,A,Decreased absorption,Text,STEP 1,0.38,97.83
557,"A 58-year-old woman is brought to the office by her husband because of a 6-week history of increasing confusion. Her husband says that, initially, she had difficulty doing Ã¢â‚¬Å“normalÃ¢â‚¬Â things, such as preparing meals. Since then, she has become progressively less able to care for herself or even use a telephone. During this time, she also has had increased anxiety and restlessness. She has type 2 diabetes mellitus well controlled with an oral hypoglycemic agent. She is alert and appears anxious. She is oriented to person but not to place or time. She startles when the door to the examination room is slammed shut. Her temperature is 36.8Ã‚Â°C (98.2Ã‚Â°F), pulse is 78/min and regular, and blood pressure is 132/94Ã‚Â mmÃ‚Â Hg. Physical examination shows no other abnormalities. On neurologic examination, she can repeat three objects immediately but is unable to recall them after 3Ã‚Â minutes. She is unable to copy a drawing of a cube. Results of a complete blood count and serum electrolyte concentrations are within the reference ranges. Her serum glucose concentration is 155Ã‚Â mg/dL. CT scan of the head shows no abnormalities. Which of the following is the most appropriate next step in diagnosis?",Determination of hemoglobin A1c,Measurement of cerebrospinal fluid 14-3-3 protein concentration,Measurement of cerebrospinal fluid beta amyloid concentration,Measurement of cerebrospinal fluid methylmalonic acid concentration,Measurement of serum angiotensin-converting enzyme activity,Serum protein electrophoresis,,,,,B,Measurement of cerebrospinal fluid 14-3-3 protein concentration,Text,STEP 2,0.4,98.26
